x , y
0.10181136 , -3113.8136563
0.10886283 , -3074.69994461
0.11624041 , -3032.95150122
0.12394501 , -2988.84510376
0.1319767 , -2942.63928537
0.14033478 , -2894.55686051
0.14901781 , -2844.77774875
0.15802361 , -2793.43852328
0.16734933 , -2740.63453315
0.17699148 , -2686.42070571
0.18694598 , -2630.80802718
0.19720819 , -2573.75388199
0.20777296 , -2515.14596622
0.21863465 , -2454.78107848
0.22978716 , -2392.34199217
0.24122401 , -2327.37718051
0.25293827 , -2259.2893335
0.26492262 , -2187.33837234
0.27716927 , -2110.66293399
0.28966998 , -2028.32071077
0.30241593 , -1939.34349442
0.31539765 , -1842.79876967
0.32860492 , -1737.84782641
0.3420266 , -1623.7915969
0.35565051 , -1500.09924677
0.36946327 , -1366.41961747
0.38345 , -1222.58032043
0.3975942 , -1068.57259484
0.41187779 , -904.53620767
0.42628106 , -730.74087625
0.44078249 , -547.56680479
0.45535876 , -355.48562061
0.46998466 , -155.04223751
0.4846331 , 53.16217521
0.49927513 , 268.48971001
0.52116952 , 601.02042407
0.54287291 , 945.55534502
0.56426997 , 1299.20554953
0.58524004 , 1658.77321591
0.60565934 , 2020.63429428
0.6254037 , 2380.64533467
0.64435179 , 2734.08871503
0.6623889 , 3075.67413265
0.67941106 , 3399.60855291
0.69532944 , 3699.74105404
0.7100746 , 3969.78316696
0.72360033 , 4203.59783354
0.7358865 , 4395.53990021
0.7469406 , 4540.8196908
0.75679743 , 4635.85275446
0.765517 , 4678.55575022
0.77318056 , 4668.55339234
0.7798852 , 4607.27483971
0.78573772 , 4497.93526453
0.79084833 , 4345.41545954
0.79532504 , 4156.06070602
0.79926909 , 3937.41822889
0.80277185 , 3697.92041117
0.80591307 , 3446.50635076
0.8087604 , 3192.16839994
0.8113698 , 2943.42372824
0.81378661 , 2707.74661207
0.81604698 , 2491.04373782
0.81817928 , 2297.28450508
0.82020559 , 2128.38309978
0.82214299 , 1984.36310721
0.82400461 , 1863.75090624
0.82580059 , 1764.08403309
0.82753877 , 1682.41166346
0.82922525 , 1615.70092265
0.83086487 , 1561.11312263
0.83246146 , 1516.15603712
0.83401816 , 1478.74049874
0.83553757 , 1447.17425954
0.83702186 , 1420.12153089
0.83847292 , 1396.54851284
0.83989238 , 1375.66697065
0.84128169 , 1356.88276681
0.84264218 , 1339.75174323
0.84397503 , 1323.94405152
0.84528133 , 1309.21563527
0.84656211 , 1295.38623489
0.8478183 , 1282.32282653
0.84905079 , 1269.92692088
0.8502604 , 1258.12531688
0.85144793 , 1246.86323393
0.85261411 , 1236.09942841
0.85375963 , 1225.8025697
0.85488516 , 1215.94896412
0.85707817 , 1197.481043
0.85919989 , 1180.54279928
0.86125455 , 1165.00427648
0.86324598 , 1150.76546977
0.8651777 , 1137.74097461
0.86705291 , 1125.85301182
0.86887456 , 1115.02823737
0.87064535 , 1105.19678275
0.87236777 , 1096.29189072
0.87404411 , 1088.24976776
0.8756765 , 1081.00981631
0.87726689 , 1074.51474871
0.8788171 , 1068.71060215
0.88032882 , 1063.54700939
0.88180363 , 1058.97752342
0.88324297 , 1054.96047848
0.88464821 , 1051.46104895
0.88602062 , 1048.45682854
0.88736137 , 1045.95170603
0.88995128 , 1041.93078534
0.89243171 , 1039.3396456
0.8948101 , 1037.94897633
0.89709313 , 1037.59838784
0.89928686 , 1038.15760327
